Player,Team,Pos,Salary,90s,Gls,Ast,Sh,SoT,Crs,KP,Pass_Cmp,Fld,Fls,TklW,Int,CrdY,xG,xA,Start_Mins,Sub_Mins,Starting
Abdoulaye Doucoure,EVE,M,4600,404,0,1,7,1,1,4,214,4,6,8,2,2,0.6,0.9,80.8,,y
Alex Iwobi,EVE,M,3800,163,0,1,1,0,7,3,61,4,2,3,2,0,0,0.9,45,17.33333333,y
Allan,EVE,M,4200,360,0,0,0,0,0,2,159,6,6,15,0,3,0,0,90,0,y
Andre Gomes,EVE,M,3800,130,0,0,0,0,2,2,43,0,5,2,0,1,0,0,65,0,
Anthony Gordon,EVE,M,4200,33,0,0,0,0,0,0,10,2,0,1,0,0,0,0,,6.6,
Ben Godfrey,EVE,D,3600,150,0,0,0,0,1,0,55,1,1,2,1,0,0,0,90,0,y
Bernard,EVE,M,6200,166,1,0,2,1,3,5,90,1,4,2,2,1,0.1,0.3,90,19,
Cenk Tosun,EVE,F,4600,33,0,0,0,0,0,1,5,0,1,0,0,1,0,0.1,,6.6,
Dominic Calvert-Lewin,EVE,F,10200,450,3,0,14,7,6,4,80,7,5,1,1,1,1.9,0.3,90,,y
Fabian Delph,EVE,M,3800,156,0,0,1,0,3,1,148,3,1,1,1,0,0,0,90,16.5,
Gylfi Sigurdsson,EVE,M,7800,321,0,1,7,1,5,5,106,3,5,4,3,0,0.3,0.4,75.5,19,
James Rodriguez,EVE,M/F,11200,336,2,2,8,4,7,7,148,12,5,1,1,1,1.5,0.8,84,0,y
Jonjoe Kenny,EVE,D,4000,76,0,0,0,0,3,0,41,0,0,0,0,0,0,0,76,0,
Jordan Pickford,EVE,GK,7000,360,0,0,0,0,0,1,91,0,0,0,0,0,0,0,90,0,
Lucas Digne,EVE,D,8800,341,0,1,1,0,25,3,182,4,8,1,0,0,0.1,0.5,85.25,0,y
Mason Holgate,EVE,D,3600,90,0,0,0,0,1,0,68,1,1,4,0,1,0,0,90,0,
Michael Keane,EVE,D,4800,450,1,0,2,1,0,2,324,2,3,2,2,0,0.2,0.2,90,,y
Niels Nkounkou,EVE,D,3400,68,0,0,1,0,2,0,24,0,1,0,0,1,0,0,68,0,
Richarlison,EVE,M/F,10600,113,0,0,3,0,1,1,18,2,2,1,0,0,0.4,0,89,0,y
Robin Olsen,EVE,GK,6800,90,0,0,0,0,0,0,19,0,0,0,0,0,0,0,90,0,
Seamus Coleman,EVE,D,6000,177,0,0,1,1,1,1,84,5,0,7,1,0,0,0.1,73.5,0,
Tom Davies,EVE,M,4000,90,0,0,0,0,1,0,44,0,1,4,2,0,0,0,90,0,
Yerry Mina,EVE,D,4200,360,1,0,2,2,0,0,209,2,5,0,1,1,0.1,0,90,0,y
Aboubakar Kamara,FUL,F,4800,46,0,0,2,1,5,0,13,0,1,1,0,0,0.3,0,,9.2,
Ademola Lookman,FUL,F,8000,383,1,0,13,5,9,8,130,7,4,6,1,1,1.6,0.5,89.75,24,y
Aleksandar Mitrovic,FUL,F,9200,450,0,2,15,2,4,7,89,5,10,5,0,1,2.2,1,90,,
Alphonse Areola,FUL,GK,5400,450,0,0,0,0,0,0,91,0,0,0,0,0,0,0,90,,
Andre-Frank Zambo Anguissa,FUL,M,4400,424,0,0,8,1,5,2,266,5,8,9,6,1,0.3,0.2,84.8,,
Antonee Robinson,FUL,D,5600,450,0,0,1,1,26,7,250,3,3,5,6,0,0.1,0.3,90,,y
Bobby Reid,FUL,M/F,5800,263,1,0,5,2,3,1,76,2,4,3,1,1,1,0,82,8.5,y
Harrison Reed,FUL,M,4000,147,0,1,0,0,1,3,103,1,1,1,1,1,0,0.3,90,14.25,y
Ivan Cavaleiro,FUL,M/F,6400,163,0,0,1,0,4,3,49,2,3,0,1,1,0.1,0.2,78,2.333333333,y
Joachim Andersen,FUL,D,3200,180,0,0,1,0,0,0,67,2,2,0,0,0,0,0,90,0,y
Joe Bryan,FUL,D,6600,67,0,0,0,0,4,1,14,1,0,0,3,0,0,0.1,66,0.25,
Mario Lemina,FUL,M,3800,133,0,0,1,0,1,0,89,1,3,6,1,0,0,0,61.5,3.333333333,y
Maxime Le Marchand,FUL,D,3000,90,0,0,1,0,0,0,56,1,2,1,0,1,0,0,90,0,
Neeskens Kebano,FUL,M,7600,10,0,0,3,0,0,0,2,0,0,0,0,0,0.2,0,,2,
Ola Aina,FUL,D,5000,450,1,0,1,1,17,3,270,6,4,3,7,0,0.1,0.1,90,,y
Ruben Loftus-Cheek,FUL,M,4400,161,0,0,3,1,1,1,85,2,1,4,2,1,0.1,0,76.5,2.666666667,
Tim Ream,FUL,D,3200,270,0,0,0,0,0,0,156,0,2,1,2,0,0,0,90,0,
Tom Cairney,FUL,M,8400,450,1,0,7,3,13,14,329,11,0,2,1,0,0.4,0.9,90,,y
Tosin Adarabioyo,FUL,D,3400,360,0,0,3,0,0,1,176,1,2,3,3,0,0.1,0,90,0,y
